Country,Characteristic,Median age at first sexual intercourse [Women]: 20-24,Median age at first sexual intercourse [Women]: 25-29,Median age at first sexual intercourse [Women]: 20-49,Median age at first sexual intercourse [Women]: 25-49,level,area,age
Angola,Total,16.6,16.7,16.6,16.6,0,Angola,Y010_Y014
Angola,Total,16.6,16.7,16.6,16.6,0,Angola,Y015_Y019
Angola,Total,16.6,16.7,16.6,16.6,0,Angola,Y020_Y024
Angola,Total,16.6,16.7,16.6,16.6,0,Angola,Y025_Y029
Angola,Provinces : Cabinda          (L1),16.9,17.2,17.2,17.3,1,Cabinda,Y010_Y014
Angola,Provinces : Cabinda          (L1),16.9,17.2,17.2,17.3,1,Cabinda,Y015_Y019
Angola,Provinces : Cabinda          (L1),16.9,17.2,17.2,17.3,1,Cabinda,Y020_Y024
Angola,Provinces : Cabinda          (L1),16.9,17.2,17.2,17.3,1,Cabinda,Y025_Y029
Angola,Provinces : Zaire            (L1),16.7,17.1,16.9,17,1,Zaire,Y010_Y014
Angola,Provinces : Zaire            (L1),16.7,17.1,16.9,17,1,Zaire,Y015_Y019
Angola,Provinces : Zaire            (L1),16.7,17.1,16.9,17,1,Zaire,Y020_Y024
Angola,Provinces : Zaire            (L1),16.7,17.1,16.9,17,1,Zaire,Y025_Y029
Angola,Provinces : Uíge             (L1),16.2,16.3,16.6,16.8,1,Uíge,Y010_Y014
Angola,Provinces : Uíge             (L1),16.2,16.3,16.6,16.8,1,Uíge,Y015_Y019
Angola,Provinces : Uíge             (L1),16.2,16.3,16.6,16.8,1,Uíge,Y020_Y024
Angola,Provinces : Uíge             (L1),16.2,16.3,16.6,16.8,1,Uíge,Y025_Y029
Angola,Provinces : Luanda           (L1),17.2,17.2,17,17,1,Luanda,Y010_Y014
Angola,Provinces : Luanda           (L1),17.2,17.2,17,17,1,Luanda,Y015_Y019
Angola,Provinces : Luanda           (L1),17.2,17.2,17,17,1,Luanda,Y020_Y024
Angola,Provinces : Luanda           (L1),17.2,17.2,17,17,1,Luanda,Y025_Y029
Angola,Provinces : Cuanza Norte     (L1),15.8,15.9,15.7,15.7,1,Cuanza Norte,Y010_Y014
Angola,Provinces : Cuanza Norte     (L1),15.8,15.9,15.7,15.7,1,Cuanza Norte,Y015_Y019
Angola,Provinces : Cuanza Norte     (L1),15.8,15.9,15.7,15.7,1,Cuanza Norte,Y020_Y024
Angola,Provinces : Cuanza Norte     (L1),15.8,15.9,15.7,15.7,1,Cuanza Norte,Y025_Y029
Angola,Provinces : Cuanza Sul       (L1),15.9,16.7,16.1,16.2,1,Cuanza Sul,Y010_Y014
Angola,Provinces : Cuanza Sul       (L1),15.9,16.7,16.1,16.2,1,Cuanza Sul,Y015_Y019
Angola,Provinces : Cuanza Sul       (L1),15.9,16.7,16.1,16.2,1,Cuanza Sul,Y020_Y024
Angola,Provinces : Cuanza Sul       (L1),15.9,16.7,16.1,16.2,1,Cuanza Sul,Y025_Y029
Angola,Provinces : Malanje          (L1),15,14.8,14.8,14.8,1,Malanje,Y010_Y014
Angola,Provinces : Malanje          (L1),15,14.8,14.8,14.8,1,Malanje,Y015_Y019
Angola,Provinces : Malanje          (L1),15,14.8,14.8,14.8,1,Malanje,Y020_Y024
Angola,Provinces : Malanje          (L1),15,14.8,14.8,14.8,1,Malanje,Y025_Y029
Angola,Provinces : Lunda Norte      (L1),16.6,16.6,16.5,16.4,1,Lunda Norte,Y010_Y014
Angola,Provinces : Lunda Norte      (L1),16.6,16.6,16.5,16.4,1,Lunda Norte,Y015_Y019
Angola,Provinces : Lunda Norte      (L1),16.6,16.6,16.5,16.4,1,Lunda Norte,Y020_Y024
Angola,Provinces : Lunda Norte      (L1),16.6,16.6,16.5,16.4,1,Lunda Norte,Y025_Y029
Angola,Provinces : Benguela         (L1),16.5,16.6,16.7,16.8,1,Benguela,Y010_Y014
Angola,Provinces : Benguela         (L1),16.5,16.6,16.7,16.8,1,Benguela,Y015_Y019
Angola,Provinces : Benguela         (L1),16.5,16.6,16.7,16.8,1,Benguela,Y020_Y024
Angola,Provinces : Benguela         (L1),16.5,16.6,16.7,16.8,1,Benguela,Y025_Y029
Angola,Provinces : Huambo           (L1),16.1,16.2,16.1,16.1,1,Huambo,Y010_Y014
Angola,Provinces : Huambo           (L1),16.1,16.2,16.1,16.1,1,Huambo,Y015_Y019
Angola,Provinces : Huambo           (L1),16.1,16.2,16.1,16.1,1,Huambo,Y020_Y024
Angola,Provinces : Huambo           (L1),16.1,16.2,16.1,16.1,1,Huambo,Y025_Y029
Angola,Provinces : Bié              (L1),15.7,15.9,15.8,15.8,1,Bié,Y010_Y014
Angola,Provinces : Bié              (L1),15.7,15.9,15.8,15.8,1,Bié,Y015_Y019
Angola,Provinces : Bié              (L1),15.7,15.9,15.8,15.8,1,Bié,Y020_Y024
Angola,Provinces : Bié              (L1),15.7,15.9,15.8,15.8,1,Bié,Y025_Y029
Angola,Provinces : Moxico           (L1),15.7,16.8,16.3,16.5,1,Moxico,Y010_Y014
Angola,Provinces : Moxico           (L1),15.7,16.8,16.3,16.5,1,Moxico,Y015_Y019
Angola,Provinces : Moxico           (L1),15.7,16.8,16.3,16.5,1,Moxico,Y020_Y024
Angola,Provinces : Moxico           (L1),15.7,16.8,16.3,16.5,1,Moxico,Y025_Y029
Angola,Provinces : Cuando Cubango   (L1),15.8,16.2,16.1,16.4,1,Cuando Cubango,Y010_Y014
Angola,Provinces : Cuando Cubango   (L1),15.8,16.2,16.1,16.4,1,Cuando Cubango,Y015_Y019
Angola,Provinces : Cuando Cubango   (L1),15.8,16.2,16.1,16.4,1,Cuando Cubango,Y020_Y024
Angola,Provinces : Cuando Cubango   (L1),15.8,16.2,16.1,16.4,1,Cuando Cubango,Y025_Y029
Angola,Provinces : Namibe           (L1),16,16.3,16,16.1,1,Namibe,Y010_Y014
Angola,Provinces : Namibe           (L1),16,16.3,16,16.1,1,Namibe,Y015_Y019
Angola,Provinces : Namibe           (L1),16,16.3,16,16.1,1,Namibe,Y020_Y024
Angola,Provinces : Namibe           (L1),16,16.3,16,16.1,1,Namibe,Y025_Y029
Angola,Provinces : Huíla            (L1),16.6,16.6,16.6,16.6,1,Huíla,Y010_Y014
Angola,Provinces : Huíla            (L1),16.6,16.6,16.6,16.6,1,Huíla,Y015_Y019
Angola,Provinces : Huíla            (L1),16.6,16.6,16.6,16.6,1,Huíla,Y020_Y024
Angola,Provinces : Huíla            (L1),16.6,16.6,16.6,16.6,1,Huíla,Y025_Y029
Angola,Provinces : Cunene           (L1),16.7,16.1,16.4,16.3,1,Cunene,Y010_Y014
Angola,Provinces : Cunene           (L1),16.7,16.1,16.4,16.3,1,Cunene,Y015_Y019
Angola,Provinces : Cunene           (L1),16.7,16.1,16.4,16.3,1,Cunene,Y020_Y024
Angola,Provinces : Cunene           (L1),16.7,16.1,16.4,16.3,1,Cunene,Y025_Y029
Angola,Provinces : Lunda Sul        (L1),15.9,15.8,15.8,15.7,1,Lunda Sul,Y010_Y014
Angola,Provinces : Lunda Sul        (L1),15.9,15.8,15.8,15.7,1,Lunda Sul,Y015_Y019
Angola,Provinces : Lunda Sul        (L1),15.9,15.8,15.8,15.7,1,Lunda Sul,Y020_Y024
Angola,Provinces : Lunda Sul        (L1),15.9,15.8,15.8,15.7,1,Lunda Sul,Y025_Y029
Angola,Provinces : Bengo            (L1),16.9,17.1,17.2,17.3,1,Bengo,Y010_Y014
Angola,Provinces : Bengo            (L1),16.9,17.1,17.2,17.3,1,Bengo,Y015_Y019
Angola,Provinces : Bengo            (L1),16.9,17.1,17.2,17.3,1,Bengo,Y020_Y024
Angola,Provinces : Bengo            (L1),16.9,17.1,17.2,17.3,1,Bengo,Y025_Y029
,,,,,,,,
,,,,,,,,
,,,,,,,,
